dropping objects

Type dropped.


Type dropped.

recreating the CIS_REPORT_RECORD object (record)

Type created.

No errors.
recreating the CIS_REPORT object (array)

Type created.

No errors.
running the sample PL/SQL
Start: 13:57:16                                                                                     
After firt select: 13:57:18   Record count: 1873                                                    
879695 - TESI -  - 16-JUL-12 - 3d4cb44a-d889-493e-997d-3215ff396a0c -                               
879701 - TESI -  - 16-JUL-12 - 3d4cb44a-d889-493e-997d-3215ff396a0c -                               
879764 - TESI -  - 16-JUL-12 - 3d4cb44a-d889-493e-997d-3215ff396a0c -                               
879775 - TESI -  - 16-JUL-12 - 3d4cb44a-d889-493e-997d-3215ff396a0c -                               
879786 - TESI -  - 16-JUL-12 - 3d4cb44a-d889-493e-997d-3215ff396a0c -                               
879802 - TESI -  - 16-JUL-12 - 3d4cb44a-d889-493e-997d-3215ff396a0c -                               
879816 - TESI -  - 16-JUL-12 - b02fd531-5141-4b52-8b02-2abe74862fc6 -                               
879830 - TESI -  - 16-JUL-12 - 3d4cb44a-d889-493e-997d-3215ff396a0c -                               
879877 - TESI -  - 16-JUL-12 - c6766606-a0e4-4dd5-b085-70619e260399 -                               
879904 - TESI -  - 16-JUL-12 - c6766606-a0e4-4dd5-b085-70619e260399 -                               
879909 - TESI -  - 16-JUL-12 - b02fd531-5141-4b52-8b02-2abe74862fc6 -                               
879912 - TESI -  - 16-JUL-12 - b02fd531-5141-4b52-8b02-2abe74862fc6 -                               
879913 - TESI -  - 16-JUL-12 - b02fd531-5141-4b52-8b02-2abe74862fc6 -                               
879920 - TESI -  - 16-JUL-12 - c6766606-a0e4-4dd5-b085-70619e260399 -                               
879926 - TESI -  - 16-JUL-12 - c6766606-a0e4-4dd5-b085-70619e260399 -                               
879936 - TESI -  - 16-JUL-12 - b02fd531-5141-4b52-8b02-2abe74862fc6 -                               
879967 - TESI -  - 16-JUL-12 - c6766606-a0e4-4dd5-b085-70619e260399 -                               
879975 - TESI -  - 16-JUL-12 - c6766606-a0e4-4dd5-b085-70619e260399 -                               
879992 - TESI -  - 16-JUL-12 - b02fd531-5141-4b52-8b02-2abe74862fc6 -                               
880010 - TESI -  - 16-JUL-12 - b02fd531-5141-4b52-8b02-2abe74862fc6 -                               
880019 - TESI -  - 16-JUL-12 - 3d4cb44a-d889-493e-997d-3215ff396a0c -                               
880060 - TESI -  - 16-JUL-12 - b02fd531-5141-4b52-8b02-2abe74862fc6 -                               
880066 - TESI -  - 16-JUL-12 - b02fd531-5141-4b52-8b02-2abe74862fc6 -                               
880077 - TESI -  - 16-JUL-12 - b02fd531-5141-4b52-8b02-2abe74862fc6 -                               
880083 - TESI -  - 16-JUL-12 - b02fd531-5141-4b52-8b02-2abe74862fc6 -                               
880085 - TESI -  - 16-JUL-12 - b02fd531-5141-4b52-8b02-2abe74862fc6 -                               
880092 - TESI -  - 16-JUL-12 - b02fd531-5141-4b52-8b02-2abe74862fc6 -                               
880102 - TESI -  - 16-JUL-12 - b02fd531-5141-4b52-8b02-2abe74862fc6 -                               
880109 - TESI -  - 16-JUL-12 - b02fd531-5141-4b52-8b02-2abe74862fc6 -                               
880129 - TESI -  - 16-JUL-12 - b02fd531-5141-4b52-8b02-2abe74862fc6 -                               
880132 - TESI -  - 16-JUL-12 - b02fd531-5141-4b52-8b02-2abe74862fc6 -                               
880156 - XOOM -  - 16-JUL-12 - 9e3f8f6e-5ade-40c8-a9a0-e819c780f38f -                               
880175 - XOOM -  - 16-JUL-12 - 9e3f8f6e-5ade-40c8-a9a0-e819c780f38f -                               
880191 - XOOM -  - 16-JUL-12 - 9e3f8f6e-5ade-40c8-a9a0-e819c780f38f -                               
880226 - XOOM -  - 16-JUL-12 - 9e3f8f6e-5ade-40c8-a9a0-e819c780f38f -                               
882579 - TESI -  - 17-JUL-12 - 3d4cb44a-d889-493e-997d-3215ff396a0c -                               
882587 - TESI -  - 17-JUL-12 - c6766606-a0e4-4dd5-b085-70619e260399 -                               
882619 - TESI -  - 17-JUL-12 - 3d4cb44a-d889-493e-997d-3215ff396a0c -                               
882658 - TESI -  - 17-JUL-12 - b02fd531-5141-4b52-8b02-2abe74862fc6 -                               
882669 - TESI -  - 17-JUL-12 - b02fd531-5141-4b52-8b02-2abe74862fc6 -                               
882682 - TESI -  - 17-JUL-12 - b02fd531-5141-4b52-8b02-2abe74862fc6 -                               
882716 - TESI -  - 17-JUL-12 - b02fd531-5141-4b52-8b02-2abe74862fc6 -                               
882737 - TESI -  - 17-JUL-12 - c6766606-a0e4-4dd5-b085-70619e260399 -                               
882742 - TESI -  - 17-JUL-12 - b02fd531-5141-4b52-8b02-2abe74862fc6 -                               
882745 - TESI -  - 17-JUL-12 - c6766606-a0e4-4dd5-b085-70619e260399 -                               
882756 - TESI -  - 17-JUL-12 - c6766606-a0e4-4dd5-b085-70619e260399 -                               
882791 - TESI -  - 17-JUL-12 - 3d4cb44a-d889-493e-997d-3215ff396a0c -                               
882794 - TESI -  - 17-JUL-12 - 3d4cb44a-d889-493e-997d-3215ff396a0c -                               
882824 - TESI -  - 17-JUL-12 - c6766606-a0e4-4dd5-b085-70619e260399 -                               
882852 - TESI -  - 17-JUL-12 - c6766606-a0e4-4dd5-b085-70619e260399 -                               
882896 - TESI -  - 17-JUL-12 - c6766606-a0e4-4dd5-b085-70619e260399 -                               
882903 - TESI -  - 17-JUL-12 - b02fd531-5141-4b52-8b02-2abe74862fc6 -                               
882917 - TESI -  - 17-JUL-12 - b02fd531-5141-4b52-8b02-2abe74862fc6 -                               
882935 - TESI -  - 17-JUL-12 - c6766606-a0e4-4dd5-b085-70619e260399 -                               
882967 - TESI -  - 17-JUL-12 - b02fd531-5141-4b52-8b02-2abe74862fc6 -                               
882974 - TESI -  - 17-JUL-12 - b02fd531-5141-4b52-8b02-2abe74862fc6 -                               
883010 - TESI -  - 17-JUL-12 - b02fd531-5141-4b52-8b02-2abe74862fc6 -                               
883034 - TESI -  - 17-JUL-12 - b02fd531-5141-4b52-8b02-2abe74862fc6 -                               
883056 - TESI -  - 17-JUL-12 - b02fd531-5141-4b52-8b02-2abe74862fc6 -                               
883063 - TESI -  - 17-JUL-12 - b02fd531-5141-4b52-8b02-2abe74862fc6 -                               
883092 - TESI -  - 17-JUL-12 - b02fd531-5141-4b52-8b02-2abe74862fc6 -                               
883118 - TESI -  - 17-JUL-12 - b02fd531-5141-4b52-8b02-2abe74862fc6 -                               
883151 - TESI -  - 17-JUL-12 - b02fd531-5141-4b52-8b02-2abe74862fc6 -                               
883182 - TESI -  - 17-JUL-12 - b02fd531-5141-4b52-8b02-2abe74862fc6 -                               
883189 - TESI -  - 17-JUL-12 - b02fd531-5141-4b52-8b02-2abe74862fc6 -                               
883196 - TESI -  - 17-JUL-12 - b02fd531-5141-4b52-8b02-2abe74862fc6 -                               
883250 - TESI -  - 17-JUL-12 - c6766606-a0e4-4dd5-b085-70619e260399 -                               
883294 - TESI -  - 17-JUL-12 - c6766606-a0e4-4dd5-b085-70619e260399 -                               
883303 - TESI -  - 17-JUL-12 - c6766606-a0e4-4dd5-b085-70619e260399 -                               
883339 - TESI -  - 17-JUL-12 - c6766606-a0e4-4dd5-b085-70619e260399 -                               
883342 - TESI -  - 17-JUL-12 - c6766606-a0e4-4dd5-b085-70619e260399 -                               
883347 - TESI -  - 17-JUL-12 - c6766606-a0e4-4dd5-b085-70619e260399 -                               
883351 - TESI -  - 17-JUL-12 - b02fd531-5141-4b52-8b02-2abe74862fc6 -                               
883352 - TESI -  - 17-JUL-12 - b02fd531-5141-4b52-8b02-2abe74862fc6 -                               
883356 - TESI -  - 17-JUL-12 - b02fd531-5141-4b52-8b02-2abe74862fc6 -                               
883362 - TESI -  - 17-JUL-12 - b02fd531-5141-4b52-8b02-2abe74862fc6 -                               
883366 - TESI -  - 17-JUL-12 - 3d4cb44a-d889-493e-997d-3215ff396a0c -                               
883370 - TESI -  - 17-JUL-12 - b02fd531-5141-4b52-8b02-2abe74862fc6 -                               
883375 - TESI -  - 17-JUL-12 - b02fd531-5141-4b52-8b02-2abe74862fc6 -                               
883377 - TESI -  - 17-JUL-12 - 3d4cb44a-d889-493e-997d-3215ff396a0c -                               
883410 - TESI -  - 17-JUL-12 - 3d4cb44a-d889-493e-997d-3215ff396a0c -                               
883415 - TESI -  - 17-JUL-12 - b02fd531-5141-4b52-8b02-2abe74862fc6 -                               
883431 - TESI -  - 17-JUL-12 - 3d4cb44a-d889-493e-997d-3215ff396a0c -                               
883441 - TESI -  - 17-JUL-12 - 3d4cb44a-d889-493e-997d-3215ff396a0c -                               
883463 - TESI -  - 17-JUL-12 - 3d4cb44a-d889-493e-997d-3215ff396a0c -                               
883471 - TESI -  - 17-JUL-12 - 3d4cb44a-d889-493e-997d-3215ff396a0c -                               
883478 - TESI -  - 17-JUL-12 - 3d4cb44a-d889-493e-997d-3215ff396a0c -                               
883486 - TESI -  - 17-JUL-12 - 3d4cb44a-d889-493e-997d-3215ff396a0c -                               
883505 - TESI -  - 17-JUL-12 - 3d4cb44a-d889-493e-997d-3215ff396a0c -                               
883517 - TESI -  - 17-JUL-12 - 3d4cb44a-d889-493e-997d-3215ff396a0c -                               
883521 - TESI -  - 17-JUL-12 - 3d4cb44a-d889-493e-997d-3215ff396a0c -                               
883557 - TESI -  - 17-JUL-12 - 3d4cb44a-d889-493e-997d-3215ff396a0c -                               
883605 - TESI -  - 17-JUL-12 - 3d4cb44a-d889-493e-997d-3215ff396a0c -                               
883619 - TESI -  - 17-JUL-12 - b02fd531-5141-4b52-8b02-2abe74862fc6 -                               
883629 - TESI -  - 17-JUL-12 - c6766606-a0e4-4dd5-b085-70619e260399 -                               
883639 - TESI -  - 17-JUL-12 - b02fd531-5141-4b52-8b02-2abe74862fc6 -                               
883646 - TESI -  - 17-JUL-12 - b02fd531-5141-4b52-8b02-2abe74862fc6 -                               
883652 - TESI -  - 17-JUL-12 - b02fd531-5141-4b52-8b02-2abe74862fc6 -                               
883657 - TESI -  - 17-JUL-12 - c6766606-a0e4-4dd5-b085-70619e260399 -                               
